sys	r	g	b	name
bang-v2	74	85	168	449 Moderate phthalo blue
bang-v2	0	21	168	450 Strong phthalo blue
bang-v2	39	45	89	451 Dark phthalo blue
bang-v2	0	11	89	452 Deep phthalo blue
bang-v2	246	246	255	453 Bluish white
bang-v2	226	226	255	454 Very pale blue
bang-v2	194	194	255	455 Pale blue
bang-v2	158	158	255	456 Very light blue
bang-v2	101	101	255	457 Light brilliant blue
bang-v2	0	0	255	458 Luminous vivid blue
bang-v2	218	218	231	459 Light bluish gray
bang-v2	184	184	231	460 Pale, light grayish blue
bang-v2	139	139	231	461 Light blue
bang-v2	81	81	231	462 Brilliant blue
bang-v2	0	0	231	463 Vivid blue
bang-v2	156	156	168	464 Bluish gray
bang-v2	125	125	168	465 Grayish blue
bang-v2	74	74	168	466 Moderate blue
bang-v2	0	0	168	467 Strong blue
bang-v2	83	83	89	468 Dark bluish gray
bang-v2	66	66	89	469 Dark grayish blue
bang-v2	39	39	89	470 Dark blue
bang-v2	0	0	89	471 Deep blue
bang-v2	26	26	29	472 Bluish black
bang-v2	17	17	29	473 Very dark blue
bang-v2	0	0	29	474 Very deep blue
bang-v2	201	194	255	475 Pale persian blue
bang-v2	170	158	255	476 Very light persian blue
bang-v2	120	101	255	477 Light brilliant persian blue
bang-v2	32	0	255	478 Luminous vivid persian blue
bang-v2	150	139	231	479 Light persian blue
bang-v2	100	81	231	480 Brilliant persian blue
bang-v2	29	0	231	481 Vivid persian blue
bang-v2	85	74	168	482 Moderate persian blue
bang-v2	21	0	168	483 Strong persian blue
bang-v2	45	39	89	484 Dark persian blue
bang-v2	11	0	89	485 Deep persian blue
bang-v2	233	226	255	486 Very pale indigo
bang-v2	209	194	255	487 Pale indigo
bang-v2	182	158	255	488 Very light indigo
bang-v2	139	101	255	489 Light brilliant indigo
bang-v2	64	0	255	490 Luminous vivid indigo
bang-v2	196	184	231	491 Pale, light grayish indigo
bang-v2	162	139	231	492 Light indigo
bang-v2	119	81	231	493 Brilliant indigo
bang-v2	58	0	231	494 Vivid indigo
bang-v2	136	125	168	495 Grayish indigo
bang-v2	97	74	168	496 Moderate indigo
bang-v2	42	0	168	497 Strong indigo
bang-v2	72	66	89	498 Dark grayish indigo
bang-v2	52	39	89	499 Dark indigo
bang-v2	22	0	89	500 Deep indigo
bang-v2	217	194	255	501 Pale blue violet
bang-v2	194	158	255	502 Very light blue violet
bang-v2	159	101	255	503 Light brilliant blue violet
bang-v2	96	0	255	504 Luminous vivid blue violet
bang-v2	174	139	231	505 Light blue violet
bang-v2	137	81	231	506 Brilliant blue violet
bang-v2	87	0	231	507 Vivid blue violet
bang-v2	109	74	168	508 Moderate blue violet
bang-v2	63	0	168	509 Strong blue violet
bang-v2	58	39	89	510 Dark blue violet
bang-v2	33	0	89	511 Deep blue violet
